2018-06-14 15:49:30.453039: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-06-14 15:49:30.717287: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:01:00.0
totalMemory: 7.92GiB freeMemory: 7.81GiB
2018-06-14 15:49:30.717315: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:01:00.0, compute capability: 6.1)
step: 59100, v_ppl: 84.639846, tst_ppl: 78.247282, mean_rwd: 0.001863, exp_rwd_loss: 0.006857, update_loss: 1.714413
step: 59200, v_ppl: 84.639585, tst_ppl: 78.246990, mean_rwd: 0.011639, exp_rwd_loss: 0.013958, update_loss: 9.375223
step: 59300, v_ppl: 84.639619, tst_ppl: 78.247025, mean_rwd: 0.002128, exp_rwd_loss: 0.007057, update_loss: 1.460304
step: 59400, v_ppl: 84.639647, tst_ppl: 78.247035, mean_rwd: -0.002220, exp_rwd_loss: 0.005996, update_loss: -1.756516
step: 59500, v_ppl: 84.639688, tst_ppl: 78.247064, mean_rwd: 0.006974, exp_rwd_loss: 0.009498, update_loss: 5.224093
step: 59600, v_ppl: 84.639640, tst_ppl: 78.247019, mean_rwd: -0.013204, exp_rwd_loss: 0.015374, update_loss: -10.416938
step: 59700, v_ppl: 84.639734, tst_ppl: 78.247110, mean_rwd: 0.001677, exp_rwd_loss: 0.004877, update_loss: 1.342136
step: 59800, v_ppl: 84.639796, tst_ppl: 78.247200, mean_rwd: -0.006292, exp_rwd_loss: 0.010972, update_loss: -5.415478
step: 59900, v_ppl: 84.639597, tst_ppl: 78.247019, mean_rwd: 0.006543, exp_rwd_loss: 0.008286, update_loss: 5.436382
step: 60000, v_ppl: 84.639522, tst_ppl: 78.246915, mean_rwd: -0.003373, exp_rwd_loss: 0.005945, update_loss: -2.450888
step: 60100, v_ppl: 84.639387, tst_ppl: 78.246776, mean_rwd: 0.000958, exp_rwd_loss: 0.006059, update_loss: 0.451257
step: 60200, v_ppl: 84.639373, tst_ppl: 78.246746, mean_rwd: 0.001012, exp_rwd_loss: 0.004395, update_loss: 0.774069
step: 60300, v_ppl: 84.639303, tst_ppl: 78.246699, mean_rwd: -0.006393, exp_rwd_loss: 0.008694, update_loss: -4.913275
step: 60400, v_ppl: 84.638930, tst_ppl: 78.246297, mean_rwd: 0.000910, exp_rwd_loss: 0.004865, update_loss: 0.657692
step: 60500, v_ppl: 84.638790, tst_ppl: 78.246149, mean_rwd: -0.011306, exp_rwd_loss: 0.012774, update_loss: -8.755363
step: 60600, v_ppl: 84.638502, tst_ppl: 78.245849, mean_rwd: -0.003504, exp_rwd_loss: 0.005430, update_loss: -2.498544
step: 60700, v_ppl: 84.638394, tst_ppl: 78.245762, mean_rwd: -0.003564, exp_rwd_loss: 0.006619, update_loss: -3.043776
step: 60800, v_ppl: 84.638102, tst_ppl: 78.245424, mean_rwd: 0.001984, exp_rwd_loss: 0.005811, update_loss: 1.606263
step: 60900, v_ppl: 84.638133, tst_ppl: 78.245481, mean_rwd: -0.001929, exp_rwd_loss: 0.005075, update_loss: -1.794923
step: 61000, v_ppl: 84.637725, tst_ppl: 78.245026, mean_rwd: -0.000038, exp_rwd_loss: 0.006355, update_loss: 0.276036
step: 61100, v_ppl: 84.637903, tst_ppl: 78.245206, mean_rwd: -0.006870, exp_rwd_loss: 0.008962, update_loss: -5.617881
step: 61200, v_ppl: 84.638123, tst_ppl: 78.245402, mean_rwd: 0.011055, exp_rwd_loss: 0.011829, update_loss: 8.634123
step: 61300, v_ppl: 84.638037, tst_ppl: 78.245262, mean_rwd: 0.008685, exp_rwd_loss: 0.011051, update_loss: 6.959757
step: 61400, v_ppl: 84.638215, tst_ppl: 78.245452, mean_rwd: -0.005959, exp_rwd_loss: 0.007407, update_loss: -4.588690
step: 61500, v_ppl: 84.638402, tst_ppl: 78.245666, mean_rwd: -0.000161, exp_rwd_loss: 0.005362, update_loss: -0.068751
step: 61600, v_ppl: 84.638477, tst_ppl: 78.245692, mean_rwd: -0.002866, exp_rwd_loss: 0.004747, update_loss: -2.058415
step: 61700, v_ppl: 84.638092, tst_ppl: 78.245278, mean_rwd: 0.001574, exp_rwd_loss: 0.005588, update_loss: 1.164834
step: 61800, v_ppl: 84.638123, tst_ppl: 78.245297, mean_rwd: -0.004455, exp_rwd_loss: 0.006718, update_loss: -2.921210
step: 61900, v_ppl: 84.638063, tst_ppl: 78.245235, mean_rwd: 0.003002, exp_rwd_loss: 0.005941, update_loss: 2.175843
step: 62000, v_ppl: 84.638041, tst_ppl: 78.245202, mean_rwd: 0.005188, exp_rwd_loss: 0.007018, update_loss: 3.848091
step: 62100, v_ppl: 84.638047, tst_ppl: 78.245210, mean_rwd: -0.003801, exp_rwd_loss: 0.005309, update_loss: -3.189903
step: 62200, v_ppl: 84.638022, tst_ppl: 78.245184, mean_rwd: -0.004884, exp_rwd_loss: 0.008003, update_loss: -3.684128
step: 62300, v_ppl: 84.637963, tst_ppl: 78.245127, mean_rwd: -0.004296, exp_rwd_loss: 0.007984, update_loss: -4.290098
