train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize64.epoch150.seqlen16.random.present0.5.partition2.hidden512/
step:39201 source:(64, 18) loss:3.76799 lr:0.000035
step:39401 source:(64, 18) loss:3.75052 lr:0.000035
step:39601 source:(64, 18) loss:3.72229 lr:0.000035
step:39801 source:(64, 18) loss:3.62017 lr:0.000035
step:40001 source:(64, 18) loss:3.73231 lr:0.000035
step:40201 source:(64, 18) loss:3.70943 lr:0.000035
step:40401 source:(64, 18) loss:3.72774 lr:0.000035
step:40601 source:(64, 18) loss:3.7474 lr:0.000035
step:40801 source:(64, 18) loss:3.6772 lr:0.000035
step:41001 source:(64, 18) loss:3.6749 lr:0.000035
step:41201 source:(64, 18) loss:3.61716 lr:0.000035
step:41401 source:(64, 18) loss:3.74845 lr:0.000035
step:41601 source:(64, 18) loss:3.71984 lr:0.000035
step:41801 source:(64, 18) loss:3.73282 lr:0.000035
step:42001 source:(64, 18) loss:3.83339 lr:0.000035
step:42201 source:(32, 18) loss:3.50036 lr:0.000035
step:42401 source:(64, 18) loss:3.58783 lr:0.000035
step:42601 source:(64, 18) loss:3.70576 lr:0.000035
step:42801 source:(64, 18) loss:3.78566 lr:0.000035
step:43001 source:(64, 18) loss:3.83862 lr:0.000035
step:43201 source:(64, 18) loss:3.69337 lr:0.000035
step:43401 source:(64, 18) loss:3.71081 lr:0.000035
step:43601 source:(64, 18) loss:3.68013 lr:0.000035
step:43801 source:(64, 18) loss:3.63217 lr:0.000035
step:44001 source:(64, 18) loss:3.73738 lr:0.000035
step:44201 source:(64, 18) loss:3.69093 lr:0.000035
step:44401 source:(64, 18) loss:3.79652 lr:0.000035
step:44601 source:(64, 18) loss:3.70422 lr:0.000035
step:44801 source:(64, 18) loss:3.71897 lr:0.000035
step:45001 source:(64, 18) loss:3.73829 lr:0.000035
step:45201 source:(64, 18) loss:3.59421 lr:0.000035
step:45401 source:(64, 18) loss:3.59101 lr:0.000035
step:45601 source:(64, 18) loss:3.71465 lr:0.000035
step:45801 source:(64, 18) loss:3.73514 lr:0.000035
step:46001 source:(64, 18) loss:3.58307 lr:0.000035
step:46201 source:(64, 18) loss:3.67587 lr:0.000035
step:46401 source:(64, 18) loss:3.73147 lr:0.000035
step:46601 source:(64, 18) loss:3.73159 lr:0.000035
step:46801 source:(64, 18) loss:3.61581 lr:0.000035
epoch:30 test_present_rate:0.5 test_bleu:43.93669366836548 template_bleu:41.34289026260376
epoch:30 test_present_rate:0.5 train_bleu:44.07269060611725 template_bleu:41.33050739765167
step:47001 source:(64, 18) loss:3.66255 lr:0.000035
step:47201 source:(64, 18) loss:3.81174 lr:0.000035
step:47401 source:(64, 18) loss:3.69938 lr:0.000035
step:47601 source:(64, 18) loss:3.58449 lr:0.000035
step:47801 source:(64, 18) loss:3.7513 lr:0.000035
step:48001 source:(64, 18) loss:3.69624 lr:0.000035
step:48201 source:(64, 18) loss:3.61535 lr:0.000035
step:48401 source:(64, 18) loss:3.71247 lr:0.000035
step:48601 source:(64, 18) loss:3.76791 lr:0.000035
step:48801 source:(64, 18) loss:3.70415 lr:0.000035
step:49001 source:(64, 18) loss:3.70118 lr:0.000035
step:49201 source:(64, 18) loss:3.66356 lr:0.000035
step:49401 source:(64, 18) loss:3.73956 lr:0.000035
step:49601 source:(64, 18) loss:3.74984 lr:0.000035
step:49801 source:(64, 18) loss:3.70431 lr:0.000035
step:50001 source:(64, 18) loss:3.66998 lr:0.000035
step:50201 source:(64, 18) loss:3.69575 lr:0.000035
step:50401 source:(64, 18) loss:3.70929 lr:0.000035
step:50601 source:(64, 18) loss:3.76457 lr:0.000035
step:50801 source:(64, 18) loss:3.64514 lr:0.000035
step:51001 source:(64, 18) loss:3.71002 lr:0.000035
step:51201 source:(64, 18) loss:3.59099 lr:0.000035
step:51401 source:(64, 18) loss:3.67042 lr:0.000035
step:51601 source:(64, 18) loss:3.70412 lr:0.000035
step:51801 source:(64, 18) loss:3.72037 lr:0.000035
step:52001 source:(64, 18) loss:3.63039 lr:0.000035
step:52201 source:(64, 18) loss:3.66861 lr:0.000035
step:52401 source:(64, 18) loss:3.76858 lr:0.000035
step:52601 source:(64, 18) loss:3.66156 lr:0.000035
step:52801 source:(64, 18) loss:3.62639 lr:0.000035
step:53001 source:(64, 18) loss:3.63635 lr:0.000035
step:53201 source:(64, 18) loss:3.85232 lr:0.000035
step:53401 source:(64, 18) loss:3.71502 lr:0.000035
step:53601 source:(64, 18) loss:3.84465 lr:0.000035
step:53801 source:(64, 18) loss:3.68474 lr:0.000035
step:54001 source:(64, 18) loss:3.71071 lr:0.000035
step:54201 source:(64, 18) loss:3.65605 lr:0.000035
step:54401 source:(64, 18) loss:3.68111 lr:0.000035
step:54601 source:(64, 18) loss:3.72545 lr:0.000035
epoch:35 test_present_rate:0.5 test_bleu:43.918922543525696 template_bleu:41.39014184474945
epoch:35 test_present_rate:0.5 train_bleu:44.06215250492096 template_bleu:41.20948314666748
step:54801 source:(64, 18) loss:3.7414 lr:0.000035
step:55001 source:(64, 18) loss:3.74188 lr:0.000035
step:55201 source:(64, 18) loss:3.71659 lr:0.000035
step:55401 source:(64, 18) loss:3.71165 lr:0.000035
step:55601 source:(64, 18) loss:3.78846 lr:0.000035
step:55801 source:(64, 18) loss:3.68145 lr:0.000035
step:56001 source:(64, 18) loss:3.76747 lr:0.000035
step:56201 source:(64, 18) loss:3.64994 lr:0.000035
step:56401 source:(64, 18) loss:3.7168 lr:0.000035
step:56601 source:(64, 18) loss:3.64348 lr:0.000035
step:56801 source:(64, 18) loss:3.55582 lr:0.000035
step:57001 source:(64, 18) loss:3.70203 lr:0.000035
step:57201 source:(64, 18) loss:3.63932 lr:0.000035
step:57401 source:(64, 18) loss:3.72845 lr:0.000035
step:57601 source:(64, 18) loss:3.64702 lr:0.000035
step:57801 source:(64, 18) loss:3.7878 lr:0.000035
step:58001 source:(64, 18) loss:3.72321 lr:0.000035
step:58201 source:(64, 18) loss:3.70441 lr:0.000035
step:58401 source:(64, 18) loss:3.84133 lr:0.000035
step:58601 source:(64, 18) loss:3.58384 lr:0.000035
step:58801 source:(64, 18) loss:3.73138 lr:0.000035
step:59001 source:(64, 18) loss:3.58341 lr:0.000035
step:59201 source:(64, 18) loss:3.58772 lr:0.000035
step:59401 source:(64, 18) loss:3.77632 lr:0.000035
step:59601 source:(64, 18) loss:3.64791 lr:0.000035
step:59801 source:(64, 18) loss:3.74986 lr:0.000035
step:60001 source:(64, 18) loss:3.66345 lr:0.000035
step:60201 source:(64, 18) loss:3.57882 lr:0.000035
step:60401 source:(64, 18) loss:3.76281 lr:0.000035
step:60601 source:(64, 18) loss:3.68662 lr:0.000035
step:60801 source:(64, 18) loss:3.6227 lr:0.000035
step:61001 source:(64, 18) loss:3.72506 lr:0.000035
step:61201 source:(64, 18) loss:3.679 lr:0.000035
step:61401 source:(64, 18) loss:3.74854 lr:0.000035
step:61601 source:(64, 18) loss:3.7496 lr:0.000035
step:61801 source:(64, 18) loss:3.69421 lr:0.000035
step:62001 source:(64, 18) loss:3.72388 lr:0.000035
step:62201 source:(64, 18) loss:3.78991 lr:0.000035
step:62401 source:(64, 18) loss:3.81551 lr:0.000035
epoch:40 test_present_rate:0.5 test_bleu:43.87074112892151 template_bleu:41.104355454444885
epoch:40 test_present_rate:0.5 train_bleu:44.653114676475525 template_bleu:41.21956825256348
step:62601 source:(64, 18) loss:3.69037 lr:0.000035
step:62801 source:(64, 18) loss:3.64265 lr:0.000035
step:63001 source:(64, 18) loss:3.73172 lr:0.000035
step:63201 source:(64, 18) loss:3.5885 lr:0.000035
step:63401 source:(64, 18) loss:3.75469 lr:0.000035
step:63601 source:(64, 18) loss:3.6229 lr:0.000035
step:63801 source:(64, 18) loss:3.63987 lr:0.000035
step:64001 source:(64, 18) loss:3.68748 lr:0.000035
step:64201 source:(64, 18) loss:3.69344 lr:0.000035
step:64401 source:(64, 18) loss:3.73922 lr:0.000035
step:64601 source:(64, 18) loss:3.70891 lr:0.000035
step:64801 source:(64, 18) loss:3.72585 lr:0.000035
step:65001 source:(64, 18) loss:3.73483 lr:0.000035
step:65201 source:(64, 18) loss:3.70322 lr:0.000035
step:65401 source:(64, 18) loss:3.63859 lr:0.000035
step:65601 source:(64, 18) loss:3.74255 lr:0.000035
step:65801 source:(64, 18) loss:3.66816 lr:0.000035
step:66001 source:(64, 18) loss:3.69251 lr:0.000035
step:66201 source:(64, 18) loss:3.70463 lr:0.000035
step:66401 source:(64, 18) loss:3.66392 lr:0.000035
step:66601 source:(64, 18) loss:3.7348 lr:0.000035
step:66801 source:(64, 18) loss:3.75489 lr:0.000035
step:67001 source:(64, 18) loss:3.68421 lr:0.000035
step:67201 source:(64, 18) loss:3.77134 lr:0.000035
step:67401 source:(64, 18) loss:3.82754 lr:0.000035
step:67601 source:(64, 18) loss:3.59888 lr:0.000035
step:67801 source:(64, 18) loss:3.70037 lr:0.000035
step:68001 source:(64, 18) loss:3.76311 lr:0.000035
step:68201 source:(64, 18) loss:3.66164 lr:0.000035
step:68401 source:(64, 18) loss:3.80071 lr:0.000035
step:68601 source:(64, 18) loss:3.68753 lr:0.000035
step:68801 source:(64, 18) loss:3.68781 lr:0.000035
step:69001 source:(64, 18) loss:3.75813 lr:0.000035
step:69201 source:(64, 18) loss:3.7376 lr:0.000035
step:69401 source:(64, 18) loss:3.72726 lr:0.000035
step:69601 source:(64, 18) loss:3.62288 lr:0.000035
step:69801 source:(64, 18) loss:3.82279 lr:0.000035
step:70001 source:(64, 18) loss:3.6784 lr:0.000035
step:70201 source:(64, 18) loss:3.66938 lr:0.000035
epoch:45 test_present_rate:0.5 test_bleu:43.785110116004944 template_bleu:41.359081864356995
epoch:45 test_present_rate:0.5 train_bleu:44.125112891197205 template_bleu:41.21784865856171
step:70401 source:(64, 18) loss:3.63478 lr:0.000035
step:70601 source:(64, 18) loss:3.85011 lr:0.000035
step:70801 source:(64, 18) loss:3.61801 lr:0.000035
step:71001 source:(64, 18) loss:3.72346 lr:0.000035
step:71201 source:(64, 18) loss:3.67221 lr:0.000035
step:71401 source:(64, 18) loss:3.66197 lr:0.000035
step:71601 source:(64, 18) loss:3.6456 lr:0.000035
step:71801 source:(64, 18) loss:3.77551 lr:0.000035
step:72001 source:(64, 18) loss:3.69828 lr:0.000035
step:72201 source:(64, 18) loss:3.66716 lr:0.000035
step:72401 source:(64, 18) loss:3.71264 lr:0.000035
step:72601 source:(64, 18) loss:3.6331 lr:0.000035
step:72801 source:(64, 18) loss:3.71777 lr:0.000035
step:73001 source:(64, 18) loss:3.82319 lr:0.000035
step:73201 source:(64, 18) loss:3.6174 lr:0.000035
step:73401 source:(64, 18) loss:3.78636 lr:0.000035
step:73601 source:(64, 18) loss:3.72734 lr:0.000035
step:73801 source:(64, 18) loss:3.60645 lr:0.000035
step:74001 source:(64, 18) loss:3.75743 lr:0.000035
step:74201 source:(64, 18) loss:3.78432 lr:0.000035
step:74401 source:(64, 18) loss:3.67813 lr:0.000035
step:74601 source:(64, 18) loss:3.65644 lr:0.000035
step:74801 source:(64, 18) loss:3.76472 lr:0.000035
step:75001 source:(64, 18) loss:3.62433 lr:0.000035
step:75201 source:(64, 18) loss:3.72394 lr:0.000035
step:75401 source:(64, 18) loss:3.62867 lr:0.000035
step:75601 source:(64, 18) loss:3.65105 lr:0.000035
step:75801 source:(64, 18) loss:3.73336 lr:0.000035
step:76001 source:(64, 18) loss:3.78108 lr:0.000035
step:76201 source:(64, 18) loss:3.77245 lr:0.000035
step:76401 source:(64, 18) loss:3.72908 lr:0.000035
step:76601 source:(64, 18) loss:3.78974 lr:0.000035
step:76801 source:(64, 18) loss:3.62874 lr:0.000035
step:77001 source:(64, 18) loss:3.79019 lr:0.000035
step:77201 source:(64, 18) loss:3.7148 lr:0.000035
step:77401 source:(64, 18) loss:3.73227 lr:0.000035
step:77601 source:(64, 18) loss:3.69161 lr:0.000035
step:77801 source:(64, 18) loss:3.84612 lr:0.000035
step:78001 source:(64, 18) loss:3.75515 lr:0.000035
epoch:50 test_present_rate:0.5 test_bleu:43.86647939682007 template_bleu:41.39849841594696
epoch:50 test_present_rate:0.5 train_bleu:44.23547089099884 template_bleu:41.29520654678345
step:78201 source:(64, 18) loss:3.68583 lr:0.000035
step:78401 source:(64, 18) loss:3.75322 lr:0.000035
step:78601 source:(64, 18) loss:3.71129 lr:0.000035
step:78801 source:(64, 18) loss:3.81909 lr:0.000035
step:79001 source:(64, 18) loss:3.84461 lr:0.000035
step:79201 source:(64, 18) loss:3.64578 lr:0.000035
step:79401 source:(64, 18) loss:3.7153 lr:0.000035
step:79601 source:(64, 18) loss:3.63209 lr:0.000035
step:79801 source:(64, 18) loss:3.70445 lr:0.000035
