train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:62201 source:(400, 18) loss:3.22681
step:62401 source:(400, 18) loss:3.17867
epoch:50 test_bleu:45.49284875392914 template_bleu:43.588435649871826
epoch:50 train_bleu:52.85528302192688 template_bleu:45.66439986228943
step:62601 source:(400, 18) loss:3.19085
step:62801 source:(400, 18) loss:3.19417
step:63001 source:(400, 18) loss:3.21147
step:63201 source:(400, 18) loss:3.24473
step:63401 source:(400, 18) loss:3.24244
step:63601 source:(400, 18) loss:3.19612
step:63801 source:(400, 18) loss:3.18413
step:64001 source:(400, 18) loss:3.20688
step:64201 source:(400, 18) loss:3.21052
step:64401 source:(400, 18) loss:3.24274
step:64601 source:(400, 18) loss:3.17803
step:64801 source:(400, 18) loss:3.2072
step:65001 source:(400, 18) loss:3.21603
step:65201 source:(400, 18) loss:3.1701
step:65401 source:(400, 18) loss:3.2166
step:65601 source:(400, 18) loss:3.20587
step:65801 source:(400, 18) loss:3.25297
step:66001 source:(400, 18) loss:3.17164
step:66201 source:(400, 18) loss:3.22636
step:66401 source:(400, 18) loss:3.20877
step:66601 source:(400, 18) loss:3.25543
step:66801 source:(400, 18) loss:3.19237
step:67001 source:(400, 18) loss:3.25831
step:67201 source:(400, 18) loss:3.2176
step:67401 source:(400, 18) loss:3.14373
step:67601 source:(400, 18) loss:3.19092
step:67801 source:(400, 18) loss:3.18989
step:68001 source:(400, 18) loss:3.19701
step:68201 source:(400, 18) loss:3.2316
step:68401 source:(400, 18) loss:3.20719
step:68601 source:(400, 18) loss:3.1998
epoch:55 test_bleu:45.8909809589386 template_bleu:43.7025249004364
epoch:55 train_bleu:52.989280223846436 template_bleu:45.70606052875519
step:68801 source:(400, 18) loss:3.20084
step:69001 source:(400, 18) loss:3.21444
step:69201 source:(400, 18) loss:3.22095
step:69401 source:(400, 18) loss:3.26467
step:69601 source:(400, 18) loss:3.16293
step:69801 source:(400, 18) loss:3.22423
step:70001 source:(400, 18) loss:3.22988
step:70201 source:(400, 18) loss:3.15646
step:70401 source:(400, 18) loss:3.19798
step:70601 source:(400, 18) loss:3.18425
step:70801 source:(400, 18) loss:3.22395
step:71001 source:(400, 18) loss:3.18127
step:71201 source:(400, 18) loss:3.18599
step:71401 source:(400, 18) loss:3.20945
step:71601 source:(400, 18) loss:3.25848
step:71801 source:(400, 18) loss:3.19614
step:72001 source:(400, 18) loss:3.23373
step:72201 source:(400, 18) loss:3.22531
step:72401 source:(400, 18) loss:3.17954
step:72601 source:(400, 18) loss:3.17698
step:72801 source:(400, 18) loss:3.18373
step:73001 source:(400, 18) loss:3.16862
step:73201 source:(400, 18) loss:3.21174
step:73401 source:(400, 18) loss:3.22687
step:73601 source:(400, 18) loss:3.21799
step:73801 source:(400, 18) loss:3.19154
step:74001 source:(400, 18) loss:3.21433
step:74201 source:(400, 18) loss:3.21344
step:74401 source:(400, 18) loss:3.22048
step:74601 source:(400, 18) loss:3.16962
step:74801 source:(400, 18) loss:3.2024
epoch:60 test_bleu:44.071412086486816 template_bleu:43.66412162780762
epoch:60 train_bleu:53.268444538116455 template_bleu:45.67563831806183
step:75001 source:(400, 18) loss:3.15553
step:75201 source:(400, 18) loss:3.13953
step:75401 source:(400, 18) loss:3.18798
step:75601 source:(400, 18) loss:3.15986
step:75801 source:(400, 18) loss:3.21517
step:76001 source:(400, 18) loss:3.13914
step:76201 source:(400, 18) loss:3.19026
step:76401 source:(400, 18) loss:3.20414
step:76601 source:(400, 18) loss:3.25005
step:76801 source:(400, 18) loss:3.17167
step:77001 source:(400, 18) loss:3.21229
step:77201 source:(400, 18) loss:3.21549
step:77401 source:(400, 18) loss:3.16066
step:77601 source:(400, 18) loss:3.16266
step:77801 source:(400, 18) loss:3.17731
step:78001 source:(400, 18) loss:3.20426
step:78201 source:(400, 18) loss:3.2435
step:78401 source:(400, 18) loss:3.19432
step:78601 source:(400, 18) loss:3.19755
step:78801 source:(400, 18) loss:3.17872
step:79001 source:(400, 18) loss:3.21668
step:79201 source:(400, 18) loss:3.24491
step:79401 source:(400, 18) loss:3.23744
step:79601 source:(400, 18) loss:3.16857
step:79801 source:(400, 18) loss:3.20091
step:80001 source:(400, 18) loss:3.16904
step:80201 source:(400, 18) loss:3.13093
step:80401 source:(400, 18) loss:3.19004
step:80601 source:(400, 18) loss:3.16344
step:80801 source:(400, 18) loss:3.21195
step:81001 source:(400, 18) loss:3.12831
step:81201 source:(400, 18) loss:3.20658
epoch:65 test_bleu:44.10776495933533 template_bleu:43.50701570510864
epoch:65 train_bleu:53.136658668518066 template_bleu:45.67236304283142
step:81401 source:(400, 18) loss:3.19282
step:81601 source:(400, 18) loss:3.2434
step:81801 source:(400, 18) loss:3.17419
step:82001 source:(400, 18) loss:3.24363
step:82201 source:(400, 18) loss:3.22058
step:82401 source:(400, 18) loss:3.16419
step:82601 source:(400, 18) loss:3.16216
step:82801 source:(400, 18) loss:3.18562
step:83001 source:(400, 18) loss:3.20226
step:83201 source:(400, 18) loss:3.25591
step:83401 source:(400, 18) loss:3.23628
step:83601 source:(400, 18) loss:3.18662
step:83801 source:(400, 18) loss:3.19331
step:84001 source:(400, 18) loss:3.21571
step:84201 source:(400, 18) loss:3.21967
step:84401 source:(400, 18) loss:3.22215
step:84601 source:(400, 18) loss:3.14011
step:84801 source:(400, 18) loss:3.19032
step:85001 source:(400, 18) loss:3.16216
step:85201 source:(400, 18) loss:3.15772
step:85401 source:(400, 18) loss:3.16876
step:85601 source:(400, 18) loss:3.16098
step:85801 source:(400, 18) loss:3.21517
step:86001 source:(400, 18) loss:3.12195
step:86201 source:(400, 18) loss:3.21035
step:86401 source:(400, 18) loss:3.19564
step:86601 source:(400, 18) loss:3.21923
step:86801 source:(400, 18) loss:3.15125
step:87001 source:(400, 18) loss:3.20551
step:87201 source:(400, 18) loss:3.22152
step:87401 source:(400, 18) loss:3.16468
epoch:70 test_bleu:42.72325336933136 template_bleu:43.47603619098663
epoch:70 train_bleu:52.952080965042114 template_bleu:45.694950222969055
step:87601 source:(400, 18) loss:3.16381
step:87801 source:(400, 18) loss:3.17359
step:88001 source:(400, 18) loss:3.17009
step:88201 source:(400, 18) loss:3.23061
step:88401 source:(400, 18) loss:3.22767
step:88601 source:(400, 18) loss:3.19022
step:88801 source:(400, 18) loss:3.17675
step:89001 source:(400, 18) loss:3.194
step:89201 source:(400, 18) loss:3.23067
step:89401 source:(400, 18) loss:3.18869
step:89601 source:(400, 18) loss:3.19045
step:89801 source:(400, 18) loss:3.20218
step:90001 source:(400, 18) loss:3.19658
step:90201 source:(400, 18) loss:3.14433
step:90401 source:(400, 18) loss:3.18352
step:90601 source:(400, 18) loss:3.20725
step:90801 source:(400, 18) loss:3.22417
step:91001 source:(400, 18) loss:3.1416
step:91201 source:(400, 18) loss:3.19989
step:91401 source:(400, 18) loss:3.19213
step:91601 source:(400, 18) loss:3.22743
step:91801 source:(400, 18) loss:3.17837
step:92001 source:(400, 18) loss:3.21927
step:92201 source:(400, 18) loss:3.18672
step:92401 source:(400, 18) loss:3.13494
step:92601 source:(400, 18) loss:3.16826
step:92801 source:(400, 18) loss:3.18274
step:93001 source:(400, 18) loss:3.17501
step:93201 source:(400, 18) loss:3.25629
step:93401 source:(400, 18) loss:3.20241
step:93601 source:(400, 18) loss:3.18536
epoch:75 test_bleu:41.64628982543945 template_bleu:43.51371228694916
epoch:75 train_bleu:51.8770694732666 template_bleu:45.65698504447937
step:93801 source:(400, 18) loss:3.19257
step:94001 source:(400, 18) loss:3.19235
step:94201 source:(400, 18) loss:3.24074
step:94401 source:(400, 18) loss:3.19885
step:94601 source:(400, 18) loss:3.16747
step:94801 source:(400, 18) loss:3.19992
step:95001 source:(400, 18) loss:3.16353
step:95201 source:(400, 18) loss:3.14522
step:95401 source:(400, 18) loss:3.17127
step:95601 source:(400, 18) loss:3.17215
step:95801 source:(400, 18) loss:3.21078
step:96001 source:(400, 18) loss:3.1415
step:96201 source:(400, 18) loss:3.2057
step:96401 source:(400, 18) loss:3.18605
step:96601 source:(400, 18) loss:3.22733
step:96801 source:(400, 18) loss:3.18372
step:97001 source:(400, 18) loss:3.23326
step:97201 source:(400, 18) loss:3.21321
step:97401 source:(400, 18) loss:3.15646
step:97601 source:(400, 18) loss:3.16185
step:97801 source:(400, 18) loss:3.19421
step:98001 source:(400, 18) loss:3.19353
step:98201 source:(400, 18) loss:3.2624
step:98401 source:(400, 18) loss:3.21892
step:98601 source:(400, 18) loss:3.18288
step:98801 source:(400, 18) loss:3.16142
step:99001 source:(400, 18) loss:3.19752
step:99201 source:(400, 18) loss:3.2194
step:99401 source:(400, 18) loss:3.20287
step:99601 source:(400, 18) loss:3.13518
step:99801 source:(400, 18) loss:3.1723
epoch:80 test_bleu:44.08265948295593 template_bleu:43.487030267715454
epoch:80 train_bleu:53.22299599647522 template_bleu:45.72309851646423
step:100001 source:(400, 18) loss:3.17789
step:100201 source:(400, 18) loss:3.12965
step:100401 source:(400, 18) loss:3.17624
step:100601 source:(400, 18) loss:3.17842
step:100801 source:(400, 18) loss:3.19228
step:101001 source:(400, 18) loss:3.15029
step:101201 source:(400, 18) loss:3.17902
step:101401 source:(400, 18) loss:3.18086
step:101601 source:(400, 18) loss:3.21435
step:101801 source:(400, 18) loss:3.15519
step:102001 source:(400, 18) loss:3.20854
step:102201 source:(400, 18) loss:3.2217
step:102401 source:(400, 18) loss:3.13959
step:102601 source:(400, 18) loss:3.15374
step:102801 source:(400, 18) loss:3.14816
step:103001 source:(400, 18) loss:3.18296
step:103201 source:(400, 18) loss:3.23701
step:103401 source:(400, 18) loss:3.17975
step:103601 source:(400, 18) loss:3.17582
step:103801 source:(400, 18) loss:3.18577
step:104001 source:(400, 18) loss:3.18158
step:104201 source:(400, 18) loss:3.20871
step:104401 source:(400, 18) loss:3.1968
step:104601 source:(400, 18) loss:3.16361
step:104801 source:(400, 18) loss:3.18915
step:105001 source:(400, 18) loss:3.18465
step:105201 source:(400, 18) loss:3.12044
step:105401 source:(400, 18) loss:3.20036
step:105601 source:(400, 18) loss:3.17046
step:105801 source:(400, 18) loss:3.20414
step:106001 source:(400, 18) loss:3.14333
step:106201 source:(400, 18) loss:3.18994
epoch:85 test_bleu:44.02914643287659 template_bleu:43.50195527076721
epoch:85 train_bleu:53.122133016586304 template_bleu:45.73644995689392
step:106401 source:(400, 18) loss:3.21753
step:106601 source:(400, 18) loss:3.23168
step:106801 source:(400, 18) loss:3.18686
step:107001 source:(400, 18) loss:3.23043
step:107201 source:(400, 18) loss:3.20977
step:107401 source:(400, 18) loss:3.15029
step:107601 source:(400, 18) loss:3.16174
step:107801 source:(400, 18) loss:3.16507
step:108001 source:(400, 18) loss:3.19866
step:108201 source:(400, 18) loss:3.24695
step:108401 source:(400, 18) loss:3.19287
step:108601 source:(400, 18) loss:3.17369
step:108801 source:(400, 18) loss:3.16949
step:109001 source:(400, 18) loss:3.21036
step:109201 source:(400, 18) loss:3.20368
step:109401 source:(400, 18) loss:3.1802
step:109601 source:(400, 18) loss:3.15516
step:109801 source:(400, 18) loss:3.21135
step:110001 source:(400, 18) loss:3.1787
step:110201 source:(400, 18) loss:3.1241
step:110401 source:(400, 18) loss:3.17538
step:110601 source:(400, 18) loss:3.1638
step:110801 source:(400, 18) loss:3.21058
step:111001 source:(400, 18) loss:3.14289
step:111201 source:(400, 18) loss:3.20906
step:111401 source:(400, 18) loss:3.22128
step:111601 source:(400, 18) loss:3.21367
step:111801 source:(400, 18) loss:3.14655
step:112001 source:(400, 18) loss:3.2081
step:112201 source:(400, 18) loss:3.20046
step:112401 source:(400, 18) loss:3.17307
epoch:90 test_bleu:44.17816996574402 template_bleu:43.37066411972046
epoch:90 train_bleu:53.23408246040344 template_bleu:45.71809768676758
step:112601 source:(400, 18) loss:3.15928
step:112801 source:(400, 18) loss:3.16528
step:113001 source:(400, 18) loss:3.19379
step:113201 source:(400, 18) loss:3.25818
step:113401 source:(400, 18) loss:3.19656
step:113601 source:(400, 18) loss:3.17819
step:113801 source:(400, 18) loss:3.17841
step:114001 source:(400, 18) loss:3.18768
step:114201 source:(400, 18) loss:3.19012
step:114401 source:(400, 18) loss:3.20115
step:114601 source:(400, 18) loss:3.14655
step:114801 source:(400, 18) loss:3.18918
step:115001 source:(400, 18) loss:3.14817
step:115201 source:(400, 18) loss:3.14126
step:115401 source:(400, 18) loss:3.19185
