train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:49601 source:(128, 18) loss:3.57518
step:49801 source:(128, 18) loss:3.52015
step:50001 source:(128, 18) loss:3.59503
step:50201 source:(128, 18) loss:3.53366
step:50401 source:(128, 18) loss:3.56396
step:50601 source:(128, 18) loss:3.5031
step:50801 source:(128, 18) loss:3.58404
epoch:65 test_bleu:44.91725564002991 template_bleu:41.13571047782898
epoch:65 train_bleu:45.33599019050598 template_bleu:41.2841796875
step:51001 source:(128, 18) loss:3.60844
step:51201 source:(128, 18) loss:3.50321
step:51401 source:(128, 18) loss:3.52949
step:51601 source:(128, 18) loss:3.56175
step:51801 source:(128, 18) loss:3.54498
step:52001 source:(128, 18) loss:3.56393
step:52201 source:(128, 18) loss:3.53748
step:52401 source:(128, 18) loss:3.60691
step:52601 source:(128, 18) loss:3.55342
step:52801 source:(128, 18) loss:3.51376
step:53001 source:(128, 18) loss:3.56409
step:53201 source:(128, 18) loss:3.49669
step:53401 source:(128, 18) loss:3.57501
step:53601 source:(128, 18) loss:3.599
step:53801 source:(128, 18) loss:3.4915
step:54001 source:(128, 18) loss:3.52512
step:54201 source:(128, 18) loss:3.5419
step:54401 source:(128, 18) loss:3.54019
step:54601 source:(128, 18) loss:3.60637
epoch:70 test_bleu:44.661954045295715 template_bleu:41.23426079750061
epoch:70 train_bleu:45.23366689682007 template_bleu:41.36241376399994
step:54801 source:(128, 18) loss:3.54228
step:55001 source:(128, 18) loss:3.45624
step:55201 source:(128, 18) loss:3.50535
step:55401 source:(128, 18) loss:3.51236
step:55601 source:(128, 18) loss:3.50767
step:55801 source:(128, 18) loss:3.54343
step:56001 source:(128, 18) loss:3.50525
step:56201 source:(128, 18) loss:3.58407
step:56401 source:(128, 18) loss:3.48009
step:56601 source:(128, 18) loss:3.56802
step:56801 source:(128, 18) loss:3.50947
step:57001 source:(128, 18) loss:3.45608
step:57201 source:(128, 18) loss:3.56323
step:57401 source:(128, 18) loss:3.51541
step:57601 source:(128, 18) loss:3.62898
step:57801 source:(128, 18) loss:3.54014
step:58001 source:(128, 18) loss:3.53041
step:58201 source:(128, 18) loss:3.57841
step:58401 source:(128, 18) loss:3.53954
step:58601 source:(128, 18) loss:3.54349
epoch:75 test_bleu:44.10330951213837 template_bleu:40.78015387058258
epoch:75 train_bleu:45.372799038887024 template_bleu:41.384756565093994
step:58801 source:(128, 18) loss:3.54085
step:59001 source:(128, 18) loss:3.54758
step:59201 source:(128, 18) loss:3.52355
step:59401 source:(128, 18) loss:3.4911
step:59601 source:(128, 18) loss:3.50102
step:59801 source:(128, 18) loss:3.54796
step:60001 source:(128, 18) loss:3.53966
step:60201 source:(128, 18) loss:3.53489
step:60401 source:(128, 18) loss:3.50653
step:60601 source:(128, 18) loss:3.52836
step:60801 source:(128, 18) loss:3.49077
step:61001 source:(128, 18) loss:3.49724
step:61201 source:(128, 18) loss:3.50236
